Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Turton Entwhistle and Wayoh Reservoirs Combined,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,"[3, 1, 'May', 0, None, None]",nan,"[6, 1, 'Mar', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[10, 1, 'Oct', 0, None, None]",nan,nan,2019-12-06 21:33:07
Wellington Country Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[20, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[11, 1, 'Oct', 0, None, None]","[14, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[10, 1, 'Oct', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[9, 1, 'Oct', 0, None, None]","[7, 1, 'Sep', 0, None, None]","[11, 1, 'Mar', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[13, 1, 'Nov', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[5, 1, 'Feb', 0, None, None]",2019-12-06 21:33:07
Westbury Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Mar', 0, None, None]","[6, 1, 'Nov', 0, None, None]",nan,"[1, 1, 'Nov', 0, None, None]","[2, 1, 'Jul', 0, None, None]",nan,"[4, 1, 'Apr', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[14, 1, 'Nov', 0, None, None]","[20, 1, 'Mar', 0, None, None]","[17, 1, 'Nov', 0, None, None]","[15, 1, 'Nov', 0, None, None]","[22, 1, 'Jan', 0, None, None]","[17, 1, 'Jan', 0, None, None]","[6, 1, 'Feb', 0, None, None]",nan,nan,nan,"[8, 1, 'Dec', 0, None, None]","[6, 1, 'Dec', 0, None, None]",nan,nan,"[7, 1, 'Jan', 0, None, None]","[9, 1, 'Dec', 0, None, None]","[6, 1, 'Sep', 0, None, None]",nan,2019-12-06 21:33:07
Wey Navigation and Mill Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Apr', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[19, 1, 'Nov', 0, None, None]","[5, 1, 'Aug', 0, None, None]","[3, 1, 'Oct', 0, None, None]",nan,2019-12-06 21:33:07
Wicken Fen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Feb', 0, None, None]","[5, 2, 'Oct', 0, None, None]",nan,nan,nan,"[21, 1, 'Mar', 0, None, None]","[21, 1, 'Feb', 0, None, None]","[29, 1, 'Sep', 0, None, None]","[27, 1, 'Sep', 0, None, None]","[18, 1, 'Oct', 0, None, None]","[18, 1, 'Oct', 0, None, None]","[15, 1, 'Oct', 0, None, None]",nan,"[13, 1, 'Feb', 0, None, None]","[12, 1, 'Mar', 0, None, None]","[15, 1, 'Nov', 0, None, None]","[15, 1, 'Dec', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[3, 1, 'Aug', 0, None, None]","[6, 1, 'Jul', 0, None, None]","[3, 1, 'Apr', 0, None, None]","[2, 1, 'Jul', 0, None, None]","[6, 1, 'Jul', 0, None, None]","[3, 1, 'Apr', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[22, 1, 'Nov', 0, None, None]",2019-12-06 21:33:07
Wicks Farm Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Feb', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[6, 2, 'Nov', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[5, 1, 'Nov', 0, None, None]","[11, 1, 'Sep', 0, None, None]",2019-12-06 21:33:07
Willesley Flash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[12, 1, 'Oct', 0, None, None]","[18, 1, 'Feb', 0, None, None]","[17, 1, 'Dec', 0, None, None]","[23, 1, 'Sep', 0, None, None]","[16, 1, 'Feb', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[8, 2, 'Feb', 0, None, None]",2019-12-06 21:33:07
Willesley Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'Mar', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[21, 1, 'Dec', 0, None, None]","[6, 1, 'Mar', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[12, 2, 'Feb', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[9, 2, 'Sep', 0, None, None]","[17, 1, 'Oct', 0, None, None]","[27, 1, 'Nov', 0, None, None]","[20, 1, 'Oct', 0, None, None]","[20, 1, 'Dec', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[6, 2, 'Sep', 0, None, None]","[11, 2, 'Oct', 0, None, None]",nan,2019-12-06 21:33:07
William Girling Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'Nov', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[12, 1, 'Oct', 0, None, None]","[6, 1, 'Aug', 0, None, None]","[6, 1, 'Aug', 0, None, None]","[8, 1, 'Oct', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[9, 1, 'Sep', 0, None, None]","[5, 1, 'Aug', 0, None, None]","[14, 1, 'Dec', 0, None, None]","[18, 1, 'Feb', 0, None, None]","[16, 1, 'Sep', 0, None, None]","[24, 1, 'Oct', 0, None, None]","[12, 1, 'Nov', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[6, 1, 'Apr', 0, None, None]","[16, 1, 'Feb', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[10, 1, 'Oct', 0, None, None]","[19, 1, 'Nov', 0, None, None]","[15, 1, 'Dec', 0, None, None]","[11, 1, 'Dec', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[3, 1, 'Mar', 0, None, None]",2019-12-06 21:33:07
Wince Brook,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7, 1, 'Oct', 0, None, None]",nan,nan,nan,nan,2019-12-06 21:33:07
Witham Hall Farm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Apr', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[6, 1, 'Aug', 0, None, None]","[5, 1, 'Aug', 0, None, None]","[8, 1, 'Jul', 0, None, None]","[6, 1, 'Sep', 0, None, None]",2019-12-06 21:33:07
Woolhampton GP South,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'May', 0, None, None]","[14, 1, 'Sep', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[9, 1, 'Oct', 0, None, None]","[9, 1, 'Sep', 0, None, None]","[9, 1, 'Jul', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[9, 1, 'Aug', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[6, 1, 'Jan', 0, None, None]",2019-12-06 21:33:07
Wotton Underwood Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Oct', 0, None, None]","[16, 1, 'Jul', 0, None, None]","[18, 1, 'Nov', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[13, 1, 'Sep', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[15, 1, 'Sep', 0, None, None]","[8, 1, 'Nov', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[9, 1, 'Sep', 0, None, None]","[11, 2, 'Oct', 0, None, None]","[15, 1, 'Jul', 0, None, None]","[14, 1, 'Aug', 0, None, None]","[5, 1, 'Jul', 0, None, None]","[6, 1, 'Jul', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[3, 1, 'Aug', 0, None, None]","[3, 1, 'Jun', 0, None, None]","[4, 1, 'Jul', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[13, 1, 'Aug', 0, None, None]","[8, 1, 'Jul', 0, None, None]",nan,"[4, 1, 'Apr', 0, None, None]","[4, 1, 'Jul', 0, None, None]",2019-12-06 21:33:07
Wyver Lane Marsh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[22, 1, 'Sep', 0, None, None]","[32, 1, 'Sep', 0, None, None]","[12, 1, 'Jan', 0, None, None]",nan,nan,"[16, 1, 'Sep', 0, None, None]","[14, 1, 'Sep', 0, None, None]","[6, 1, 'Sep', 0, None, None]",nan,nan,nan,nan,nan,nan,"[16, 1, 'Feb', 0, None, None]","[13, 1, 'Aug', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]",2019-12-06 21:33:07
"Alexandra Park, Whalley Range",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Jun', 0, None, None]","[8, 1, 'Jan', 0, None, None]",2019-12-06 21:33:07
Alresford Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Sep', 0, None, None]","[7, 1, 'Sep', 0, None, None]","[4, 1, 'Aug', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[6, 1, 'Jul', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[13, 1, 'Sep', 0, None, None]","[14, 1, 'Sep', 0, None, None]","[22, 1, 'Sep', 0, None, None]","[22, 1, 'Oct', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[29, 1, 'Sep', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[8, 1, 'Oct', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[8, 1, 'Sep', 0, None, None]",2019-12-06 21:33:07
Ashbyville Lake Scunthorpe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'Feb', 0, None, None]",2019-12-06 21:33:07
Ashtead Park Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[17, 1, 'Jul', 0, None, None]","[8, 1, 'Oct', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[5, 1, 'Nov', 0, None, None]","[5, 1, 'Aug', 0, None, None]",2019-12-06 21:33:07
Aztec West,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Apr', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[7, 1, 'Oct', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[9, 1, 'Jul', 0, None, None]",2019-12-06 21:33:07
Ballysaggart Lough,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[13, 1, 'Oct', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[19, 1, 'Sep', 0, None, None]","[39, 1, 'Mar', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Oct', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[13, 1, 'Dec', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[4, 1, 'Oct', 0, None, None]",2019-12-06 21:33:07
Balranald Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[7, 1, 'Sep', 0, None, None]",nan,"[2, 1, 'Apr', 0, None, None]","[10, 2, 'Sep', 0, None, None]","[10, 1, 'Apr', 0, None, None]","[10, 1, 'Apr', 0, None, None]","[6, 1, 'Apr', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[7, 1, 'Apr', 0, None, None]","[4, 1, 'Aug', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[6, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1, 1, 'Oct', 0, None, None]","[4, 1, 'May', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[8, 1, 'Apr', 0, None, None]","[8, 1, 'Apr', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[6, 1, 'May', 0, None, None]",2019-12-06 21:33:07
Bentinck Void and Pit Tip,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'May', 0, None, None]","[9, 1, 'Jul', 0, None, None]",2019-12-06 21:33:07
Bicton Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[13, 1, 'Nov', 0, None, None]","[19, 1, 'Nov', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[5, 2, 'Feb', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[11, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[4, 1, 'Feb', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[10, 1, 'Oct', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[7, 1, 'Oct', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[7, 1, 'Sep', 0, None, None]","[9, 1, 'Sep', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[6, 1, 'Sep', 0, None, None]",2019-12-06 21:33:07
Blackleach Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[2, 1, 'Oct', 0, None, None]",nan,"[4, 1, 'Nov', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[6, 1, 'Nov', 0, None, None]",nan,"[6, 1, 'Nov', 0, None, None]",nan,"[3, 1, 'Jan', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[4, 1, 'Jul', 0, None, None]",nan,nan,"[6, 1, 'Aug', 0, None, None]","[6, 1, 'Dec', 0, None, None]","[5, 1, 'Dec', 0, None, None]",2019-12-06 21:33:07
Bleak Hills Dam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'Oct', 0, None, None]","[8, 1, 'Nov', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[15, 1, 'Apr', 0, None, None]","[10, 1, 'Nov', 0, None, None]","[7, 1, 'Aug', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,"[12, 1, 'Apr', 0, None, None]","[15, 2, 'Dec', 0, None, None]","[16, 1, 'Nov', 0, None, None]","[17, 1, 'Feb', 0, None, None]","[17, 1, 'Mar', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[6, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,2019-12-06 21:33:07
Bodenham Gravel Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[22, 1, 'Nov', 0, None, None]","[15, 2, 'Dec', 0, None, None]","[29, 2, 'Aug', 0, None, None]","[27, 2, 'Oct', 0, None, None]","[23, 2, 'Oct', 0, None, None]","[3, 2, 'Aug', 0, None, None]","[9, 2, 'Oct', 0, None, None]","[9, 2, 'Aug', 0, None, None]","[3, 2, 'Jan', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[7, 2, 'Sep', 0, None, None]","[6, 2, 'Jul', 0, None, None]",nan,"[1, 1, 'May', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[1, 1, 'Aug', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[3, 1, 'Jul', 0, None, None]","[8, 1, 'Jan', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[9, 1, 'Oct', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[6, 1, 'Dec', 0, None, None]",2019-12-06 21:33:07
